This file shows the changes in the scripter output from the previous rendering:
Test Cases Published into Scripter Output Folder=E:\Conformiq Workspace\WS - Demo\ST_Parabank\Selenium Java
Newly Added Element: ScreenName: "Bill Payment Service" Object Name: "Payee Name" Element type: "textbox"
Newly Added Element: ScreenName: "Bill Payment Service" Object Name: "Address" Element type: "textbox"
Newly Added Element: ScreenName: "Bill Payment Service" Object Name: "City" Element type: "textbox"
Newly Added Element: ScreenName: "Bill Payment Service" Object Name: "State" Element type: "textbox"
Newly Added Element: ScreenName: "Bill Payment Service" Object Name: "Zip Code" Element type: "textbox"
Newly Added Element: ScreenName: "Bill Payment Service" Object Name: "Phone" Element type: "textbox"
Newly Added Element: ScreenName: "Bill Payment Service" Object Name: "Account" Element type: "textbox"
Newly Added Element: ScreenName: "Bill Payment Service" Object Name: "Verify Account" Element type: "textbox"
Newly Added Element: ScreenName: "Bill Payment Service" Object Name: "Amount" Element type: "textbox"
Newly Added Element: ScreenName: "Bill Payment Service" Object Name: "From Account" Element type: "dropdown"
Newly Added Element: ScreenName: "Bill Payment Service" Object Name: "SEND PAYMENT" Element type: "button"
Newly Added Element: ScreenName: "Update Profile" Object Name: "First Name" Element type: "textbox"
Newly Added Element: ScreenName: "Update Profile" Object Name: "Last Name" Element type: "textbox"
Newly Added Element: ScreenName: "Update Profile" Object Name: "Address" Element type: "textbox"
Newly Added Element: ScreenName: "Update Profile" Object Name: "City" Element type: "textbox"
Newly Added Element: ScreenName: "Update Profile" Object Name: "State" Element type: "textbox"
Newly Added Element: ScreenName: "Update Profile" Object Name: "Zip Code" Element type: "textbox"
Newly Added Element: ScreenName: "Update Profile" Object Name: "Phone" Element type: "textbox"
Newly Added Element: ScreenName: "Update Profile" Object Name: "UPDATE PROFILE" Element type: "button"
Newly Added Element: ScreenName: "Find Transactions" Object Name: "Select an account" Element type: "dropdown"
Newly Added Element: ScreenName: "Find Transactions" Object Name: "" Element type: "textbox"
Newly Added Element: ScreenName: "Find Transactions" Object Name: "Find By Transaction ID" Element type: "textbox"
Newly Added Element: ScreenName: "Find Transactions" Object Name: "Find Transactions" Element type: "button"
Newly Added Element: ScreenName: "Find Transactions" Object Name: "Between" Element type: "textbox"
Newly Added Element: ScreenName: "Find Transactions" Object Name: "Find Transactions" Element type: "button"
Newly Added Element: ScreenName: "Find Transactions" Object Name: "And" Element type: "textbox"
Newly Added Element: ScreenName: "Find Transactions" Object Name: "Find By Amount" Element type: "textbox"
Newly Added Element: ScreenName: "Find Transactions" Object Name: "Find Transactions" Element type: "button"
Newly Added Element: ScreenName: "Find Transactions" Object Name: "Find By Date" Element type: "textbox"
Newly Added Element: ScreenName: "Find Transactions" Object Name: "Find Transactions" Element type: "button"
Newly Added Element: ScreenName: "Apply for a Loan" Object Name: "Loan Amount" Element type: "textbox"
Newly Added Element: ScreenName: "Apply for a Loan" Object Name: "Down Payment" Element type: "textbox"
Newly Added Element: ScreenName: "Apply for a Loan" Object Name: "From Account" Element type: "dropdown"
Newly Added Element: ScreenName: "Apply for a Loan" Object Name: "Apply Now" Element type: "button"
Newly Added Element: ScreenName: "Apply for a Loan" Object Name: "Account Overview" Element type: "hyperlink"
Newly Added Element: ScreenName: "Apply for a Loan" Object Name: "Existing Accounts" Element type: "hyperlink"
Newly Added Element: ScreenName: "Account Services" Object Name: "Open New Account" Element type: "hyperlink"
Newly Added Element: ScreenName: "Account Services" Object Name: "Account Overview" Element type: "hyperlink"
Newly Added Element: ScreenName: "Account Services" Object Name: "Transfer Funds" Element type: "hyperlink"
Newly Added Element: ScreenName: "Account Services" Object Name: "Bill Pay" Element type: "hyperlink"
Newly Added Element: ScreenName: "Account Services" Object Name: "Find Transactions" Element type: "hyperlink"
Newly Added Element: ScreenName: "Account Services" Object Name: "" Element type: "hyperlink"
Newly Added Element: ScreenName: "Account Services" Object Name: "Update Contact Info" Element type: "hyperlink"
Newly Added Element: ScreenName: "Account Services" Object Name: "Request Loan" Element type: "hyperlink"
Newly Added Element: ScreenName: "Account Services" Object Name: "Log Out" Element type: "hyperlink"
Newly Added Element: ScreenName: "Bill Payment Complete" Object Name: "Bill Payment" Element type: "field"
Newly Added Element: ScreenName: "Transfer Funds" Object Name: "Amount" Element type: "textbox"
Newly Added Element: ScreenName: "Transfer Funds" Object Name: "From Account" Element type: "dropdown"
Newly Added Element: ScreenName: "Transfer Funds" Object Name: "To Account" Element type: "dropdown"
Newly Added Element: ScreenName: "Transfer Funds" Object Name: "TRANSFER" Element type: "button"
Newly Added Element: ScreenName: "New Account" Object Name: "" Element type: ""
Newly Added Element: ScreenName: "New Account" Object Name: "" Element type: "field"
Newly Added Element: ScreenName: "New Account" Object Name: "message" Element type: "field"
Newly Added Element: ScreenName: "New Account" Object Name: "Account Number" Element type: "field"
Newly Added Element: ScreenName: "Account Overviews" Object Name: "" Element type: ""
Newly Added Element: ScreenName: "Account Overviews" Object Name: "" Element type: "field"
Newly Added Element: ScreenName: "Account Overviews" Object Name: "Account1" Element type: "field"
Newly Added Element: ScreenName: "Account Overviews" Object Name: "" Element type: "field"
Newly Added Element: ScreenName: "Account Overviews" Object Name: "Balance of Account1" Element type: "field"
Newly Added Element: ScreenName: "Account Overviews" Object Name: "" Element type: "field"
Newly Added Element: ScreenName: "Account Overviews" Object Name: "Available Amount of Account 1" Element type: "field"
Newly Added Element: ScreenName: "Account Overviews" Object Name: "Account2" Element type: "field"
Newly Added Element: ScreenName: "Account Overviews" Object Name: "Balance Account2" Element type: "field"
Newly Added Element: ScreenName: "Account Overviews" Object Name: "" Element type: "field"
Newly Added Element: ScreenName: "Account Overviews" Object Name: "Avilable Amount of Account2" Element type: "field"
Newly Added Element: ScreenName: "Account Overviews" Object Name: "Total Amount" Element type: "field"
Newly Added Element: ScreenName: "Profile Updated" Object Name: "message" Element type: "field"
Newly Added Element: ScreenName: "Profile Updated" Object Name: "" Element type: "field"
Newly Added Element: ScreenName: "Loan Request Processed" Object Name: "Loan Provider" Element type: "field"
Newly Added Element: ScreenName: "Loan Request Processed" Object Name: "Date" Element type: "field"
Newly Added Element: ScreenName: "Loan Request Processed" Object Name: "Status" Element type: "field"
Newly Added Element: ScreenName: "Loan Request Processed" Object Name: "message" Element type: "field"
Newly Added Element: ScreenName: "Loan Request Processed" Object Name: "Account Number" Element type: "field"
Newly Added Element: ScreenName: "Account Overviews for Loan" Object Name: "Account1" Element type: "field"
Newly Added Element: ScreenName: "Account Overviews for Loan" Object Name: "" Element type: "field"
Newly Added Element: ScreenName: "Account Overviews for Loan" Object Name: "Balance of Account1" Element type: "field"
Newly Added Element: ScreenName: "Account Overviews for Loan" Object Name: "" Element type: "field"
Newly Added Element: ScreenName: "Account Overviews for Loan" Object Name: "Available Amount of Account 1" Element type: "field"
Newly Added Element: ScreenName: "Account Overviews for Loan" Object Name: "Account2" Element type: "field"
Newly Added Element: ScreenName: "Account Overviews for Loan" Object Name: "Balance Account2" Element type: "field"
Newly Added Element: ScreenName: "Account Overviews for Loan" Object Name: "" Element type: "field"
Newly Added Element: ScreenName: "Account Overviews for Loan" Object Name: "Avilable Amount of Account2" Element type: "field"
Newly Added Element: ScreenName: "Account Overviews for Loan" Object Name: "Total Amount" Element type: "field"
Newly Added Element: ScreenName: "Transaction Result" Object Name: "Result" Element type: "uitable"
Newly Added Element: ScreenName: "Click Transaction" Object Name: "Click" Element type: "field"
Newly Added Element: ScreenName: "Click Transaction" Object Name: "" Element type: "field"
Newly Added Element: ScreenName: "Transaction Details" Object Name: "Transaction ID" Element type: "field"
Newly Added Element: ScreenName: "Transaction Details" Object Name: "" Element type: "field"
Newly Added Element: ScreenName: "Transaction Details" Object Name: "Date" Element type: "field"
Newly Added Element: ScreenName: "Transaction Details" Object Name: "Description" Element type: "field"
Newly Added Element: ScreenName: "Transaction Details" Object Name: "Type" Element type: "field"
Newly Added Element: ScreenName: "Transaction Details" Object Name: "Amount" Element type: "field"
Newly Added Element: ScreenName: "Transaction Error" Object Name: "Error" Element type: "field"
Newly Added Element: ScreenName: "Transaction Error" Object Name: "" Element type: "field"
Newly Added Element: ScreenName: "Login" Object Name: "username" Element type: "dropdown"
Newly Added Element: ScreenName: "Login" Object Name: "password" Element type: "textbox"
Newly Added Element: ScreenName: "Login" Object Name: "username" Element type: "textbox"
Newly Added Element: ScreenName: "Login" Object Name: "password" Element type: "textbox"
Newly Added Element: ScreenName: "Login" Object Name: "Login" Element type: "button"
Newly Added Element: ScreenName: "Login" Object Name: "forgot user id" Element type: "hyperlink"
Newly Added Element: ScreenName: "Login" Object Name: "register" Element type: "hyperlink"
Newly Added Element: ScreenName: "launch url" Object Name: "URL" Element type: "field"
Newly Added Element: ScreenName: "launch url" Object Name: "" Element type: "field"
Newly Added Element: ScreenName: "Parabank Welcome" Object Name: "Password" Element type: "textbox"
Newly Added Element: ScreenName: "Parabank Welcome" Object Name: "Username" Element type: "textbox"
Newly Added Element: ScreenName: "Parabank Welcome" Object Name: "LOG IN" Element type: "button"
Newly Added Element: ScreenName: "Parabank Welcome" Object Name: "Register" Element type: "hyperlink"
Newly Added Element: ScreenName: "Parabank Welcome" Object Name: "" Element type: "hyperlink"
Newly Added Element: ScreenName: "Parabank Welcome" Object Name: "Forgot login info?" Element type: "hyperlink"
Newly Added Element: ScreenName: "" Object Name: "Verify_Parabank Welcome_Action" Element type: "field"
Newly Added Element: ScreenName: "Parabank Welcome" Object Name: "Admin Page" Element type: "hyperlink"
Newly Added Element: ScreenName: "enter URL" Object Name: "url" Element type: "field"
Newly Added Element: ScreenName: "enter URL" Object Name: "" Element type: "field"
Newly Added Element: ScreenName: "Register" Object Name: "First Name" Element type: "textbox"
Newly Added Element: ScreenName: "Register" Object Name: "Last Name" Element type: "textbox"
Newly Added Element: ScreenName: "Register" Object Name: "Address" Element type: "textbox"
Newly Added Element: ScreenName: "Register" Object Name: "City" Element type: "textbox"
Newly Added Element: ScreenName: "Register" Object Name: "State" Element type: "textbox"
Newly Added Element: ScreenName: "Register" Object Name: "Zip Code" Element type: "textbox"
Newly Added Element: ScreenName: "Register" Object Name: "Phone" Element type: "textbox"
Newly Added Element: ScreenName: "Register" Object Name: "SSN" Element type: "textbox"
Newly Added Element: ScreenName: "Register" Object Name: "Username" Element type: "textbox"
Newly Added Element: ScreenName: "Register" Object Name: "Password" Element type: "textbox"
Newly Added Element: ScreenName: "Register" Object Name: "Confirm" Element type: "textbox"
Newly Added Element: ScreenName: "Register" Object Name: "RIGISTER" Element type: "button"
Newly Added Element: ScreenName: "Forgot Login info" Object Name: "First Name" Element type: "textbox"
Newly Added Element: ScreenName: "Forgot Login info" Object Name: "Last Name" Element type: "textbox"
Newly Added Element: ScreenName: "Forgot Login info" Object Name: "Address" Element type: "textbox"
Newly Added Element: ScreenName: "Forgot Login info" Object Name: "City" Element type: "textbox"
Newly Added Element: ScreenName: "Forgot Login info" Object Name: "State" Element type: "textbox"
Newly Added Element: ScreenName: "Forgot Login info" Object Name: "Zip Code" Element type: "textbox"
Newly Added Element: ScreenName: "Forgot Login info" Object Name: "SSN" Element type: "textbox"
Newly Added Element: ScreenName: "Forgot Login info" Object Name: "FIND MY LOGIN INFO" Element type: "button"
Newly Added Element: ScreenName: "Account Created" Object Name: "message" Element type: "field"
Newly Added Element: ScreenName: "Account Created" Object Name: "" Element type: "field"
Newly Added Element: ScreenName: "Invalid Credentials" Object Name: "message" Element type: "field"
Newly Added Element: ScreenName: "Invalid Credentials" Object Name: "" Element type: "field"
Newly Added Element: ScreenName: "Administration" Object Name: "Loan Provider" Element type: "dropdown"
Newly Added Element: ScreenName: "Administration" Object Name: "Loan Processor" Element type: "dropdown"
Newly Added Element: ScreenName: "Administration" Object Name: "Threshold" Element type: "textbox"
Newly Added Element: ScreenName: "Administration" Object Name: "Initial Balance" Element type: "textbox"
Newly Added Element: ScreenName: "Administration" Object Name: "Min Balance" Element type: "textbox"
Newly Added Element: ScreenName: "Administration" Object Name: "SUBMIT" Element type: "button"
Newly Added Element: ScreenName: "Administration" Object Name: "Available Funds" Element type: "button"
Newly Added Element: ScreenName: "Accounts Overview" Object Name: "Account" Element type: "field"
Newly Added Element: ScreenName: "Accounts Overview" Object Name: "" Element type: "field"
Newly Added Element: ScreenName: "Accounts Overview" Object Name: "Balance" Element type: "field"
Newly Added Element: ScreenName: "Accounts Overview" Object Name: "Available Amount" Element type: "field"
Newly Added Element: ScreenName: "Invalid Register" Object Name: "Invalid Register" Element type: "field"
Newly Added Element: ScreenName: "Invalid Register" Object Name: "" Element type: "field"
Newly Added Element: ScreenName: "Reject Register" Object Name: "First Name" Element type: "field"
Newly Added Element: ScreenName: "Reject Register" Object Name: "Last Name" Element type: "field"
Newly Added Element: ScreenName: "Reject Register" Object Name: "Adress" Element type: "field"
Newly Added Element: ScreenName: "Reject Register" Object Name: "City" Element type: "field"
Newly Added Element: ScreenName: "Reject Register" Object Name: "State" Element type: "field"
Newly Added Element: ScreenName: "Reject Register" Object Name: "Zip Code" Element type: "field"
Newly Added Element: ScreenName: "Reject Register" Object Name: "Phone" Element type: "field"
Newly Added Element: ScreenName: "Reject Register" Object Name: "SSN" Element type: "field"
Newly Added Element: ScreenName: "Reject Register" Object Name: "UserName" Element type: "field"
Newly Added Element: ScreenName: "Reject Register" Object Name: "Password" Element type: "field"
Newly Added Element: ScreenName: "Reject Register" Object Name: "Confirm" Element type: "field"
Newly Added Element: ScreenName: "Reject Register" Object Name: "" Element type: "field"
Newly Added Element: ScreenName: "Open New Account" Object Name: "Account Type" Element type: "dropdown"
Newly Added Element: ScreenName: "Open New Account" Object Name: "Existing Account" Element type: "dropdown"
Newly Added Element: ScreenName: "Open New Account" Object Name: "Open New Account" Element type: "button"
Newly Added Element: ScreenName: "Open New Account" Object Name: "Account Overview" Element type: "hyperlink"
Newly Added Element: ScreenName: "Open New Account" Object Name: "Request Loan" Element type: "hyperlink"
Newly Added Element: ScreenName: "Open New Account" Object Name: "Existing Account" Element type: "hyperlink"
Newly Added Element: ScreenName: "Transfer Funds" Object Name: "Amount" Element type: "field"
Newly Added Element: ScreenName: "Transfer Funds" Object Name: "From Account" Element type: "field"
Newly Added Element: ScreenName: "Transfer Funds" Object Name: "To Account" Element type: "field"
Newly Added Element: ScreenName: "Bill Payment Service" Object Name: "Payee Name" Element type: "textbox"
Newly Added Element: ScreenName: "Bill Payment Service" Object Name: "Address" Element type: "textbox"
Newly Added Element: ScreenName: "Bill Payment Service" Object Name: "City" Element type: "textbox"
Newly Added Element: ScreenName: "Bill Payment Service" Object Name: "State" Element type: "textbox"
Newly Added Element: ScreenName: "Bill Payment Service" Object Name: "Zip Code" Element type: "textbox"
Newly Added Element: ScreenName: "Bill Payment Service" Object Name: "Phone" Element type: "textbox"
Newly Added Element: ScreenName: "Bill Payment Service" Object Name: "Account" Element type: "textbox"
Newly Added Element: ScreenName: "Bill Payment Service" Object Name: "Verify Account" Element type: "textbox"
Newly Added Element: ScreenName: "Bill Payment Service" Object Name: "Amount" Element type: "textbox"
Newly Added Element: ScreenName: "Bill Payment Service" Object Name: "From Account" Element type: "dropdown"
Newly Added Element: ScreenName: "Bill Payment Service" Object Name: "SEND PAYMENT" Element type: "button"
Newly Added Element: ScreenName: "Update Profile" Object Name: "First Name" Element type: "textbox"
Newly Added Element: ScreenName: "Update Profile" Object Name: "Last Name" Element type: "textbox"
Newly Added Element: ScreenName: "Update Profile" Object Name: "Address" Element type: "textbox"
Newly Added Element: ScreenName: "Update Profile" Object Name: "City" Element type: "textbox"
Newly Added Element: ScreenName: "Update Profile" Object Name: "State" Element type: "textbox"
Newly Added Element: ScreenName: "Update Profile" Object Name: "Zip Code" Element type: "textbox"
Newly Added Element: ScreenName: "Update Profile" Object Name: "Phone" Element type: "textbox"
Newly Added Element: ScreenName: "Update Profile" Object Name: "UPDATE PROFILE" Element type: "button"
Newly Added Element: ScreenName: "Find Transactions" Object Name: "Select an account" Element type: "dropdown"
Newly Added Element: ScreenName: "Find Transactions" Object Name: "" Element type: "textbox"
Newly Added Element: ScreenName: "Find Transactions" Object Name: "Find By Transaction ID" Element type: "textbox"
Newly Added Element: ScreenName: "Find Transactions" Object Name: "Find Transactions" Element type: "button"
Newly Added Element: ScreenName: "Find Transactions" Object Name: "Between" Element type: "textbox"
Newly Added Element: ScreenName: "Find Transactions" Object Name: "Find Transactions" Element type: "button"
Newly Added Element: ScreenName: "Find Transactions" Object Name: "And" Element type: "textbox"
Newly Added Element: ScreenName: "Find Transactions" Object Name: "Find By Amount" Element type: "textbox"
Newly Added Element: ScreenName: "Find Transactions" Object Name: "Find Transactions" Element type: "button"
Newly Added Element: ScreenName: "Find Transactions" Object Name: "Find By Date" Element type: "textbox"
Newly Added Element: ScreenName: "Find Transactions" Object Name: "Find Transactions" Element type: "button"
Newly Added Element: ScreenName: "Apply for a Loan" Object Name: "Loan Amount" Element type: "textbox"
Newly Added Element: ScreenName: "Apply for a Loan" Object Name: "Down Payment" Element type: "textbox"
Newly Added Element: ScreenName: "Apply for a Loan" Object Name: "From Account" Element type: "dropdown"
Newly Added Element: ScreenName: "Apply for a Loan" Object Name: "Apply Now" Element type: "button"
Newly Added Element: ScreenName: "Apply for a Loan" Object Name: "Account Overview" Element type: "hyperlink"
Newly Added Element: ScreenName: "Apply for a Loan" Object Name: "Existing Accounts" Element type: "hyperlink"
Newly Added Element: ScreenName: "Account Services" Object Name: "Open New Account" Element type: "hyperlink"
Newly Added Element: ScreenName: "Account Services" Object Name: "Account Overview" Element type: "hyperlink"
Newly Added Element: ScreenName: "Account Services" Object Name: "Transfer Funds" Element type: "hyperlink"
Newly Added Element: ScreenName: "Account Services" Object Name: "Bill Pay" Element type: "hyperlink"
Newly Added Element: ScreenName: "Account Services" Object Name: "Find Transactions" Element type: "hyperlink"
Newly Added Element: ScreenName: "Account Services" Object Name: "" Element type: "hyperlink"
Newly Added Element: ScreenName: "Account Services" Object Name: "Update Contact Info" Element type: "hyperlink"
Newly Added Element: ScreenName: "Account Services" Object Name: "Request Loan" Element type: "hyperlink"
Newly Added Element: ScreenName: "Account Services" Object Name: "Log Out" Element type: "hyperlink"
Newly Added Element: ScreenName: "Bill Payment Complete" Object Name: "Bill Payment" Element type: "field"
Newly Added Element: ScreenName: "Transfer Funds" Object Name: "Amount" Element type: "textbox"
Newly Added Element: ScreenName: "Transfer Funds" Object Name: "From Account" Element type: "dropdown"
Newly Added Element: ScreenName: "Transfer Funds" Object Name: "To Account" Element type: "dropdown"
Newly Added Element: ScreenName: "Transfer Funds" Object Name: "TRANSFER" Element type: "button"
Newly Added Element: ScreenName: "New Account" Object Name: "" Element type: ""
Newly Added Element: ScreenName: "New Account" Object Name: "" Element type: "field"
Newly Added Element: ScreenName: "New Account" Object Name: "message" Element type: "field"
Newly Added Element: ScreenName: "New Account" Object Name: "Account Number" Element type: "field"
Newly Added Element: ScreenName: "Account Overviews" Object Name: "" Element type: ""
Newly Added Element: ScreenName: "Account Overviews" Object Name: "" Element type: "field"
Newly Added Element: ScreenName: "Account Overviews" Object Name: "Account1" Element type: "field"
Newly Added Element: ScreenName: "Account Overviews" Object Name: "" Element type: "field"
Newly Added Element: ScreenName: "Account Overviews" Object Name: "Balance of Account1" Element type: "field"
Newly Added Element: ScreenName: "Account Overviews" Object Name: "" Element type: "field"
Newly Added Element: ScreenName: "Account Overviews" Object Name: "Available Amount of Account 1" Element type: "field"
Newly Added Element: ScreenName: "Account Overviews" Object Name: "Account2" Element type: "field"
Newly Added Element: ScreenName: "Account Overviews" Object Name: "Balance Account2" Element type: "field"
Newly Added Element: ScreenName: "Account Overviews" Object Name: "" Element type: "field"
Newly Added Element: ScreenName: "Account Overviews" Object Name: "Avilable Amount of Account2" Element type: "field"
Newly Added Element: ScreenName: "Account Overviews" Object Name: "Total Amount" Element type: "field"
Newly Added Element: ScreenName: "Profile Updated" Object Name: "message" Element type: "field"
Newly Added Element: ScreenName: "Profile Updated" Object Name: "" Element type: "field"
Newly Added Element: ScreenName: "Loan Request Processed" Object Name: "Loan Provider" Element type: "field"
Newly Added Element: ScreenName: "Loan Request Processed" Object Name: "Date" Element type: "field"
Newly Added Element: ScreenName: "Loan Request Processed" Object Name: "Status" Element type: "field"
Newly Added Element: ScreenName: "Loan Request Processed" Object Name: "message" Element type: "field"
Newly Added Element: ScreenName: "Loan Request Processed" Object Name: "Account Number" Element type: "field"
Newly Added Element: ScreenName: "Account Overviews for Loan" Object Name: "Account1" Element type: "field"
Newly Added Element: ScreenName: "Account Overviews for Loan" Object Name: "" Element type: "field"
Newly Added Element: ScreenName: "Account Overviews for Loan" Object Name: "Balance of Account1" Element type: "field"
Newly Added Element: ScreenName: "Account Overviews for Loan" Object Name: "" Element type: "field"
Newly Added Element: ScreenName: "Account Overviews for Loan" Object Name: "Available Amount of Account 1" Element type: "field"
Newly Added Element: ScreenName: "Account Overviews for Loan" Object Name: "Account2" Element type: "field"
Newly Added Element: ScreenName: "Account Overviews for Loan" Object Name: "Balance Account2" Element type: "field"
Newly Added Element: ScreenName: "Account Overviews for Loan" Object Name: "" Element type: "field"
Newly Added Element: ScreenName: "Account Overviews for Loan" Object Name: "Avilable Amount of Account2" Element type: "field"
Newly Added Element: ScreenName: "Account Overviews for Loan" Object Name: "Total Amount" Element type: "field"
Newly Added Element: ScreenName: "Transaction Result" Object Name: "Result" Element type: "uitable"
Newly Added Element: ScreenName: "Click Transaction" Object Name: "Click" Element type: "field"
Newly Added Element: ScreenName: "Click Transaction" Object Name: "" Element type: "field"
Newly Added Element: ScreenName: "Transaction Details" Object Name: "Transaction ID" Element type: "field"
Newly Added Element: ScreenName: "Transaction Details" Object Name: "" Element type: "field"
Newly Added Element: ScreenName: "Transaction Details" Object Name: "Date" Element type: "field"
Newly Added Element: ScreenName: "Transaction Details" Object Name: "Description" Element type: "field"
Newly Added Element: ScreenName: "Transaction Details" Object Name: "Type" Element type: "field"
Newly Added Element: ScreenName: "Transaction Details" Object Name: "Amount" Element type: "field"
Newly Added Element: ScreenName: "Transaction Error" Object Name: "Error" Element type: "field"
Newly Added Element: ScreenName: "Transaction Error" Object Name: "" Element type: "field"
